IRIS,Population Active,Pop 15-24,Pop 25-54,Pop 55-64,Revenus Q1,Revenus Medians,Revenus Q3
751176710,2859,535,2021,303,22850.0,37330.0,58290.0
751176711,1678,250,1259,169,21240.0,33600.0,48660.0
751176712,1405,205,1017,183,22880.0,38190.0,55430.0
751176713,1992,260,1512,220,26840.0,40190.0,57150.0
751176714,4067,959,2248,860,11750.0,19120.0,31880.0
751176715,2052,385,1372,295,23990.0,38240.0,58030.0
751176716,1394,287,887,221,17210.0,30560.0,49990.0
751176801,2514,362,1968,183,19090.0,29530.0,42890.0
751176802,2579,366,1919,294,20600.0,34670.0,51060.0
751176803,2155,316,1543,296,19250.0,31500.0,46550.0
751176804,1753,229,1223,301,20570.0,32910.0,46260.0
751176805,1595,249,1149,197,14220.0,26160.0,39320.0
751176806,3304,638,2273,394,15770.0,24720.0,38850.0
751176807,2145,448,1470,227,15390.0,27040.0,39940.0
751176808,2202,395,1466,342,17660.0,28690.0,41030.0
751176809,1909,337,1310,263,14320.0,25150.0,36840.0
751176810,1478,188,1126,165,19900.0,31770.0,44330.0
751176811,1914,314,1342,257,15600.0,26760.0,38880.0
751176812,1826,342,1310,173,12840.0,21300.0,32290.0
751176813,1821,295,1213,313,12900.0,19190.0,28600.0
751176814,1942,320,1291,331,12330.0,18690.0,27890.0
751176815,1530,341,991,197,13450.0,20250.0,30790.0
751176816,1823,395,1035,393,11180.0,14920.0,20590.0
751176817,1008,193,592,223,11930.0,16330.0,21410.0
751186901,1778,255,1265,258,18160.0,28480.0,43300.0
751186902,1721,237,1250,234,15640.0,26290.0,42090.0
751186903,1634,237,1170,227,18400.0,30530.0,45550.0
751186904,2250,373,1596,281,20640.0,32310.0,47990.0
751186905,2123,286,1549,288,16990.0,28580.0,42480.0
751186906,2109,351,1491,267,18560.0,29310.0,41070.0
751186907,2485,327,1820,338,19170.0,30120.0,43650.0
751186908,1485,275,1029,181,20200.0,30950.0,46890.0
751186909,1105,124,829,152,19060.0,30420.0,46270.0
751186910,1709,215,1252,242,25530.0,38350.0,54490.0
751186911,952,163,616,173,29100.0,43090.0,67450.0
751186912,1952,252,1440,259,21770.0,32690.0,47100.0
751186913,1450,162,1074,213,21430.0,32610.0,46290.0
751186914,1555,214,1218,122,21020.0,30250.0,43700.0
751186915,1284,168,870,247,14560.0,25310.0,38710.0
751186916,1802,274,1196,333,15360.0,24610.0,37160.0
751186917,1396,209,946,241,19560.0,31050.0,43630.0
751186918,2672,333,1971,368,19930.0,29530.0,41210.0
751186919,2889,463,2085,341,19150.0,29260.0,42250.0
751186920,1737,191,1343,203,14830.0,23910.0,34260.0
751186921,1518,242,1104,172,14740.0,24510.0,36110.0
751186922,1777,354,1114,309,21970.0,32180.0,44180.0
751186923,2551,479,1600,473,14680.0,22360.0,35330.0
751186924,2392,446,1481,465,13720.0,20350.0,31260.0
751186925,2149,542,1219,389,11810.0,17110.0,26510.0
751186926,1465,320,873,272,11670.0,14410.0,18960.0
751186927,1257,216,746,295,10700.0,14250.0,18330.0
751186928,1421,276,787,358,11150.0,14750.0,18990.0
751186929,258,116,132,10,,,
751187001,2606,383,1953,270,16280.0,26840.0,39770.0
751187002,2002,303,1383,316,18070.0,29110.0,40830.0
751187003,1525,208,1093,224,20130.0,31240.0,44130.0
751187004,1330,221,895,214,19330.0,29750.0,44960.0
751187005,1747,326,1225,196,18620.0,29130.0,44230.0
751187006,1730,246,1278,206,18690.0,28360.0,40280.0
751187007,1761,338,1254,170,14930.0,24430.0,38610.0
751187008,1155,184,767,204,23510.0,37680.0,53650.0
751187009,2234,314,1515,405,19280.0,29810.0,44340.0
751187010,1248,189,891,169,16700.0,27300.0,39710.0
751187011,1445,186,1070,189,20930.0,30950.0,42810.0
751187012,2072,302,1579,190,22400.0,33410.0,46740.0
751187013,1813,228,1393,192,21710.0,32090.0,47050.0
751187014,1471,185,1141,145,15040.0,25060.0,35400.0
751187015,1665,224,1236,205,18740.0,28350.0,39220.0
751187016,1848,228,1423,197,16600.0,26890.0,40460.0
751187017,3400,536,2378,486,12570.0,20470.0,32010.0
751187018,1758,286,1214,258,13110.0,20000.0,29390.0
751187019,2308,295,1756,257,14240.0,22610.0,33370.0
751187020,1750,190,1360,200,14390.0,22520.0,33670.0
751187021,2431,248,1908,275,15020.0,26430.0,40640.0
751187022,2213,291,1692,230,19710.0,29300.0,40560.0
751187023,1838,285,1243,310,12130.0,16970.0,25130.0
751187024,1561,182,1254,125,15960.0,25100.0,36560.0
751187025,1703,292,1225,187,14130.0,25480.0,37750.0
751187026,2285,394,1606,285,14150.0,21600.0,32560.0
751187027,2114,559,1301,254,11920.0,15460.0,21200.0
751187101,2347,356,1707,284,13720.0,21250.0,32180.0
751187102,2863,746,1617,499,10590.0,14710.0,21720.0
751187103,1376,203,909,264,10940.0,15060.0,25020.0
751187104,1821,280,1344,197,12670.0,19390.0,29090.0
751187105,1338,170,1021,147,11290.0,17760.0,29440.0
751187106,2030,231,1532,267,12280.0,18440.0,29050.0
751187107,1756,281,1280,195,11860.0,18700.0,30010.0
751187108,1728,359,1152,217,12120.0,17940.0,28340.0
751187109,1555,294,1035,225,11310.0,17560.0,27350.0
751187110,5542,1250,3449,844,12450.0,17650.0,26530.0
751187201,2120,364,1424,332,11830.0,16650.0,24570.0
751187202,1824,399,1206,219,12310.0,20040.0,30450.0
751187203,1430,199,990,242,13040.0,22250.0,34630.0
751187204,1807,269,1350,188,13740.0,22650.0,34200.0
751187205,2366,360,1698,307,13340.0,20500.0,29170.0
751187206,1714,297,1137,280,13130.0,19450.0,28160.0
751187207,2333,464,1576,293,12170.0,18450.0,27690.0
751187208,2351,489,1376,486,11850.0,16620.0,23340.0
751187209,1939,366,1160,413,10760.0,14160.0,18550.0
751197301,3489,561,2412,516,13720.0,21390.0,32330.0
