"Département (Champ géographique)","Code Commune (Champ géographique)","Nom Commune (Champ géographique)","Section (Références cadastrales)","Bâtiment (Identification du local)","N° voirie (Adresse du local)","Indice de répétition (Adresse du local)","Nature voie (Adresse du local)","Nom voie (Adresse du local)","N° MAJIC (Propriétaire(s) du local)","N° SIREN (Propriétaire(s) du local)","Forme juridique (Propriétaire(s) du local)","Forme juridique abrégée (Propriétaire(s) du local)","Dénomination (Propriétaire(s) du local)","Adresse","Adresse_complete"
59,350,"LILLE","C","A",9001,"","RUE","ALBERT CAMUS LOMME","PBBL42","378072144",4140,"EPIC","OFFICE PUBLIC DE LHABITAT DU NORD","RUE ALBERT CAMUS LOMME","9001 RUE ALBERT CAMUS LOMME"
59,350,"LILLE","C","A",4,"","RUE","WINSTON CHURCHILL LOMME","PBCVVK","413782509",4140,"EPIC","LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI","RUE WINSTON CHURCHILL LOMME","4 RUE WINSTON CHURCHILL LOMME"
59,350,"LILLE","C","A",1,"","RUE","CHARLES SAINT VENANT LOMME","PBCCQJ","456502418",5710,"SAS","ONDULYS EMBALLAGES","RUE CHARLES SAINT VENANT LOMME","1 RUE CHARLES SAINT VENANT LOMME"
59,350,"LILLE","C","A",1,"","RUE","CHARLES SAINT VENANT LOMME","PBCCQS","783718315",5710,"SAS","STE IMMOBIL CARTONNERIE LOMMOISES","RUE CHARLES SAINT VENANT LOMME","1 RUE CHARLES SAINT VENANT LOMME"
59,350,"LILLE","C","A",9007,"","RUE","JULES GUESDE LOMME","PBCCQJ","456502418",5710,"SAS","ONDULYS EMBALLAGES","RUE JULES GUESDE LOMME","9007 RUE JULES GUESDE LOMME"
59,350,"LILLE","C","A",2,"","RUE","EMILE ZOLA LOMME","PBBL42","378072144",4140,"EPIC","OFFICE PUBLIC DE LHABITAT DU NORD","RUE EMILE ZOLA LOMME","2 RUE EMILE ZOLA LOMME"
59,350,"LILLE","C","B",2,"","RUE","EMILE ZOLA LOMME","PBBL42","378072144",4140,"EPIC","OFFICE PUBLIC DE LHABITAT DU NORD","RUE EMILE ZOLA LOMME","2 RUE EMILE ZOLA LOMME"
59,350,"LILLE","C","C",2,"","RUE","EMILE ZOLA LOMME","PBBL42","378072144",4140,"EPIC","OFFICE PUBLIC DE LHABITAT DU NORD","RUE EMILE ZOLA LOMME","2 RUE EMILE ZOLA LOMME"
59,350,"LILLE","C","D",2,"","RUE","EMILE ZOLA LOMME","PBBL42","378072144",4140,"EPIC","OFFICE PUBLIC DE LHABITAT DU NORD","RUE EMILE ZOLA LOMME","2 RUE EMILE ZOLA LOMME"
59,350,"LILLE","C","E",2,"","RUE","EMILE ZOLA LOMME","PBBL42","378072144",4140,"EPIC","OFFICE PUBLIC DE LHABITAT DU NORD","RUE EMILE ZOLA LOMME","2 RUE EMILE ZOLA LOMME"
59,350,"LILLE","C","F",2,"","RUE","EMILE ZOLA LOMME","PBBL42","378072144",4140,"EPIC","OFFICE PUBLIC DE LHABITAT DU NORD","RUE EMILE ZOLA LOMME","2 RUE EMILE ZOLA LOMME"
59,350,"LILLE","C","A",57,"","AVENUE","DE LA REPUBLIQUE LOMME","PBHRW7","456503556",5699,"SA","HABITAT DU NORD SA D HLM","AVENUE DE LA REPUBLIQUE LOMME","57 AVENUE DE LA REPUBLIQUE LOMME"
