X,Y,osm_id,type,name,brand,address,Code Postal,search_address,cat_mag,Supermarket
2.2995227,48.880315899722,node/615054210,restaurant,Le Poncelet,,48 RUE PONCELET,75017,RUE PONCELET,0,0
2.3942622,48.8845401997209,node/3257236466,travel_agency,Oscar Tourisme,,35 RUE DE LA SOLIDARITE,75019,RUE DE LA SOLIDARITE,0,0
2.3243756,48.8679024997251,node/3980803281,clothes,Valentino,,273 RUE SAINT HONORE,75008,RUE SAINT HONORE,0,0
2.339098,48.8535015997286,node/5354506921,bar,La Caméléon,,57 RUE SAINT ANDRE DES ARTS,75006,RUE SAINT ANDRE DES ARTS,0,0
2.3196655,48.8821594997215,node/6563584100,fast_food,Speed Rabbit Pizza,,2 RUE BEUDANT,75017,RUE BEUDANT,0,0
2.3896746,48.8384092997324,node/2790325122,restaurant,Original Kebab,,240 RUE DE CHARENTON,75012,RUE DE CHARENTON,0,0
2.3282978,48.8416154997316,node/2438961156,convenience,Franprix,Franprix,11 RUE DELAMBRE,75014,RUE DELAMBRE,1,0
2.3804329,48.872104499724,node/5905667304,restaurant,CIP20,,39B RUE DE TOURTILLE,75020,RUE DE TOURTILLE,0,0
2.352283,48.8735810997237,node/1486313972,books,Dharma Sangh,,18 RUE DES PETITES ECURIES,75010,RUE DES PETITES ECURIES,0,0
2.3644241,48.8734795997237,node/6117078239,interior_decoration,,,3 RUE DE LA GRANGE AUX BELLES,75010,RUE DE LA GRANGE AUX BELLES,0,0
2.3300309,48.8295473997346,node/3267604886,pharmacy,Pharmacie du Coin de la Rue,,1 RUE MONTBRUN,75014,RUE MONTBRUN,0,0
2.2773379,48.8448698997308,node/2267639279,hairdresser,,,11 RUE BALARD,75015,RUE BALARD,0,0
2.2884194,48.8344266997334,node/1901211000,restaurant,Swades,,2 RUE DE CADIX,75015,RUE DE CADIX,0,0
2.3788933,48.8569642997278,node/535320364,bank,LCL,LCL,5 PLACE DU PERE CHAILLET,75011,PLACE DU PERE CHAILLET,0,0
2.346195,48.8865385997205,node/6498926302,restaurant,JBC Paris,,11 RUE MULLER,75018,RUE MULLER,0,0
2.3164896,48.8887808997199,node/7888322735,restaurant,Le Truffaut,,91B RUE TRUFFAUT,75017,RUE TRUFFAUT,0,0
2.3078779,48.8478227997301,node/1251064502,clothes,Rose & Théo,,9 RUE JOSE MARIA DE HEREDIA,75007,RUE JOSE MARIA DE HEREDIA,0,0
2.3805544,48.8485040997299,node/2587863772,restaurant,Kintaro,,46 RUE CROZATIER,75012,RUE CROZATIER,0,0
2.4029905,48.8366295997328,node/1243135895,restaurant,Sakura,,254 AVENUE DAUMESNIL,75012,AVENUE DAUMESNIL,0,0
2.3239412,48.8949968997184,node/4980052022,convenience,Vivi Mini Marché,,30 RUE LANTIEZ,75017,RUE LANTIEZ,0,0
2.365621,48.8251367997357,node/1306563389,pharmacy,Pharmacie du Javelot,,20 RUE DU JAVELOT,75013,RUE DU JAVELOT,0,0
2.3612777,48.860331899727,node/8773997249,shoes,Magnanni,,99 RUE VIEILLE DU TEMPLE,75003,RUE VIEILLE DU TEMPLE,0,0
2.3342913,48.8514366997292,node/8354199438,jewelry,Vangelder,,4 PLACE SAINT SULPICE,75006,PLACE SAINT SULPICE,0,0
2.3715751,48.8543041997284,node/4227088190,fast_food,Crêperie,,1 RUE DE LAPPE,75011,RUE DE LAPPE,0,0
2.3190933,48.8366482997328,node/3809346757,it,Easter-eggs,,89 RUE DU CHATEAU,75014,RUE DU CHATEAU,0,0
2.3174081,48.8805004997219,node/6815680449,restaurant,Le Coin,,88 RUE DU ROCHER,75008,RUE DU ROCHER,0,0
2.3218664,48.8887004997199,node/8334280609,massage,Xia Guang,,105 RUE LEGENDRE,75017,RUE LEGENDRE,0,0
2.3376022,48.876140999723,node/4855673112,moving_company,Hugo Déménagement,,26 RUE DE CHATEAUDUN,75009,RUE DE CHATEAUDUN,0,0
2.2878933,48.8409563997318,node/3247052671,bank,CIC,CIC,43 AVENUE FELIX FAURE,75015,AVENUE FELIX FAURE,0,0
