nom,validations
EPINAY SUR ORGE,2517.0
EPINAY SUR SEINE,1396.0
EPINAY VILLETANEUSE,5861.0
EPLUCHES,43.0
EPONE MEZIERES,670.0
ERAGNY NEUVILLE,576.0
ERMONT EAUBONNE,8878.0
ERMONT HALTE,565.0
ESBLY,1204.0
ESPLANADE DE LA DEFENSE,21293.0
ESSONNES ROBINSON,175.0
ETAMPES,2566.0
ETIENNE MARCEL,5287.0
ETRECHY,495.0
EUROPE,3154.0
EVRY,503.0
EVRY COURCOURONNES,10472.0
EXELMANS,4168.0
FAIDHERBE CHALIGNY,5654.0
FALGUIERE,1897.0
FAREMOUTIERS POMMEUSE,222.0
FELIX FAURE,3597.0
FILLES DU CALVAIRE,2774.0
FONTAINE LE PORT,47.0
FONTAINEBLEAU AVON,1765.0
FONTENAY LE FLEURY,1233.0
FORT D AUBERVILLIERS,9801.0
FR. POPULAIRE,6492.0
FRANCONVILLE LE PLESSIS BOUCHARD,3843.0
FRANKLIN D.ROOSEVELT,17622.0
FRATERNELLE,581.0
FREINVILLE SEVRAN,348.0
FREPILLON,233.0
GABRIEL PERI ASNIERES GENNEVILLIERS,10946.0
GAGNY,4885.0
GAITE,4866.0
GALLIENI,11242.0
GAMBETTA,13124.0
GARANCIERES LA QUEUE,247.0
GARCHES MARNES LA COQUETTE,1743.0
GARE DE GENNEVILLIERS,1479.0
GARE DE L EST,80725.0
GARE DE LYON,42187.0
GARE DU NORD,79630.0
GARGAN,686.0
GARGENVILLE,273.0
GARGES SARCELLES,16675.0
GARIBALDI,7093.0
GAZERAN,46.0
GEORGE V,12925.0
GLACIERE,8943.0
GONCOURT,5127.0
GOUSSAINVILLE,4448.0
GRAND BOURG,64.0
GRANDS BOULEVARDS,11562.0
GRAVIGNY BALIZY,414.0
GRETZ ARMAINVILLIERS,541.0
GRIGNY CENTRE,5351.0
GROS NOYER SAINT PRIX,1073.0
GROSLAY,918.0
GUERARD LA CELLE SUR MORIN,74.0
GUILLERVAL,22.0
GUY MOQUET,8080.0
HAUSSMANN SAINT LAZARE,15910.0
HAVRE CAUMARTIN,10537.0
HERBLAY,3300.0
HERICY,53.0
HOCHE,10468.0
