X,Y,osm_id,type,name,brand,address,Code Postal,search_address,cat_mag,Supermarket
-0.5751001,44.8376062004829,node/2519774776,jewelry,O R,,119 COURS D ALSACE ET LORRAINE,33000,COURS D ALSACE ET LORRAINE,0,0
-0.5655183,44.8811903004791,node/7595886385,bakery,Brioche Dorée,Brioche Dorée,2 RUE JEAN ROYER,33300,RUE JEAN ROYER,0,0
-0.5858038,44.8401702004827,node/7038736483,locksmith,Point Fort Fichet,,97 RUE GEORGES BONNAC,33000,RUE GEORGES BONNAC,0,0
-0.5810188,44.8417228004826,node/6033932785,restaurant,Paus'K,,38 PLACE GAMBETTA,33000,PLACE GAMBETTA,0,0
-0.5741915,44.8420327004825,node/4932005300,cafe,Le Régent,,52 COURS DU CHAPEAU ROUGE,33000,COURS DU CHAPEAU ROUGE,0,0
-0.5744633,44.836921900483,node/7368257676,cafe,Personne n'est parfait,,57 RUE DES AYRES,33000,RUE DES AYRES,0,0
-0.5720712,44.8544018004815,node/3066695860,restaurant,La boîte à pizza,,68 COURS PORTAL,33000,COURS PORTAL,0,0
-0.563766976916926,44.8714949436157,way/154154505,fabric,Alex Tissus,,235 BOULEVARD ALFRED DANEY,33300,BOULEVARD ALFRED DANEY,0,0
-0.5729031,44.8327272004833,node/7252576435,restaurant,Kausi,,254 RUE SAINTE CATHERINE,33000,RUE SAINTE CATHERINE,0,0
-0.5597386,44.8409379004826,node/5081148339,cafe,French Coffee Shop,,30 PLACE DE STALINGRAD,33100,PLACE DE STALINGRAD,0,0
-0.5769162,44.8434211004824,node/7941688186,butcher,Boucherie de Paris,,8 RUE MICHEL MONTAIGNE,33000,RUE MICHEL MONTAIGNE,0,0
-0.573235,44.8524681004816,node/4922966774,convenience,Gastronomie des Pyrénées,,12 COURS PORTAL,33000,COURS PORTAL,0,0
-0.570805,44.8437972004824,node/5720900996,pub,The Dog And Duck,,5 QUAI LOUIS XVIII,33000,QUAI LOUIS XVIII,0,0
-0.5656125,44.8213044004843,node/7255074586,restaurant,Sushi Thon,,159 RUE PELLEPORT,33800,RUE PELLEPORT,0,0
-0.5783995,44.8452850004823,node/8065131313,optician,Tourny Optique,,8BIS PLACE TOURNY,33000,PLACE TOURNY,0,0
-0.595197,44.8211809004843,node/7254852274,motorcycle,Sprint Motors,,161 COURS DU MARECHAL GALLIENI,33000,COURS DU MARECHAL GALLIENI,0,0
-0.6009415,44.8353911004831,node/7990614827,car_repair,Carrosserie Dumas,,37 RUE DE CESTAS,33000,RUE DE CESTAS,0,0
-0.5817901,44.8407194004826,node/6444837990,restaurant,Green Corner,,20 RUE CASTELNAU D AUROS,33000,RUE CASTELNAU D AUROS,0,0
-0.5795505,44.8414131004826,node/6537304686,confectionery,Dunes Blanches,,7 RUE DE LA VIEILLE TOUR,33000,RUE DE LA VIEILLE TOUR,0,0
-0.5734617,44.8350716004831,node/4330281889,fast_food,KFC,KFC,129 COURS VICTOR HUGO,33000,COURS VICTOR HUGO,0,0
-0.5410521,44.8863317004787,node/7282082685,brewery,Azimut,,61 AVENUE DU DOCTEUR SCHINAZI,33300,AVENUE DU DOCTEUR SCHINAZI,0,0
-0.6157569,44.8524795004816,node/6957827540,estate_agent,Bourse de l'Immobilier,,171 AVENUE LOUIS BARTHOU,33000,AVENUE LOUIS BARTHOU,0,0
-0.5815116,44.836406900483,node/4839963145,bakery,Saines Saveurs,,5 COURS MARECHAL JUIN,33000,COURS MARECHAL JUIN,0,0
-0.562081,44.8505459004818,node/288846178,pub,Guinguette Alriq,,87 QUAI DES QUEYRIES,33100,QUAI DES QUEYRIES,0,0
-0.571973,44.8384853004829,node/4838866382,convenience,Leader Price Express,Leader Price Express,49 RUE DU PAS SAINT GEORGES,33000,RUE DU PAS SAINT GEORGES,0,0
-0.5708472,44.8521291004817,node/6027072685,cafe,Bar Notre-Dame,,82 RUE NOTRE DAME,33000,RUE NOTRE DAME,0,0
-0.5731075,44.8413010004826,node/2353105960,restaurant,Chez Mémé,,51 RUE SAINT REMI,33000,RUE SAINT REMI,0,0
-0.6236414,44.8581622004812,node/7380502866,caterer,La Pizza des Gourmets,,332 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY,33200,AVENUE DU MARECHAL DE LATTRE DE TASSIGNY,0,0
-0.6107992,44.8321084004834,node/281727110,pharmacy,Pharmacie Saint-Augustin,,9BIS PLACE DE L EGLISE SAINT AUGUSTIN,33000,PLACE DE L EGLISE SAINT AUGUSTIN,0,0
-0.5800787,44.8420351004825,node/2572764917,pub,Central Pub,,5 COURS GEORGES CLEMENCEAU,33000,COURS GEORGES CLEMENCEAU,0,0
